,index,Unnamed: 0,player_name,team_abbreviation,age,player_height,player_weight,college,country,draft_year,draft_round,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season,player_id
86,8345,8345,Klay Thompson,GSW,25.0,200.66,97.52228,Washington State,USA,2011,1,11,77,21.7,3.2,2.9,15.8,0.012,0.092,0.275,0.591,0.13699999999999998,2014-15,87
87,4169,4169,Richie Frahm,HOU,28.0,195.58,95.25431999999999,Gonzaga,USA,Undrafted,Undrafted,Undrafted,33,3.3,1.0,0.6,-3.8,0.01,0.106,0.15,0.517,0.097,2005-06,88
88,8024,8024,Mustafa Shakur,OKC,29.0,190.5,86.18248,Arizona,USA,Undrafted,Undrafted,Undrafted,3,0.3,0.0,1.3,-29.6,0.0,0.0,0.228,0.129,0.667,2013-14,89
89,624,624,Rex Walters,MIA,28.0,193.04,86.18248,Kansas,USA,1993,1,16,38,2.1,0.6,0.9,-9.9,0.025,0.085,0.17,0.612,0.25,1997-98,90
90,10220,10220,James Johnson,MIA,32.0,203.2,108.86208,Wake Forest,USA,2009,1,16,55,7.8,3.2,2.5,-4.6,0.018000000000000002,0.123,0.177,0.522,0.16699999999999998,2018-19,91
91,7566,7566,Ben Gordon,CHA,30.0,190.5,90.7184,Connecticut,USA,2004,1,3,75,11.2,1.7,1.9,-15.4,0.013,0.087,0.276,0.515,0.18,2012-13,92
92,3355,3355,Amar'e Stoudemire,PHX,21.0,208.28,111.13004,None,USA,2002,1,9,55,20.6,9.0,1.4,-2.8,0.08800000000000001,0.188,0.274,0.536,0.07,2003-04,93
93,3387,3387,Bobby Jackson,SAC,31.0,185.42,83.91452,Minnesota,USA,1997,1,23,50,13.8,3.5,2.1,4.7,0.052000000000000005,0.111,0.265,0.5379999999999999,0.171,2003-04,94
94,9566,9566,Emeka Okafor,NOP,35.0,208.28,115.66596,Connecticut,USA,2004,1,2,26,4.4,4.6,0.3,0.3,0.12,0.175,0.133,0.545,0.028,2017-18,95
95,5595,5595,Josh Powell,LAL,26.0,205.74,108.86208,North Carolina State,USA,Undrafted,Undrafted,Undrafted,60,4.2,2.9,0.5,-9.2,0.115,0.16899999999999998,0.194,0.479,0.06,2008-09,96
96,10355,10355,Daryl Macon,DAL,23.0,190.5,83.91452,Arkansas,USA,Undrafted,Undrafted,Undrafted,8,3.6,1.5,0.9,-2.1,0.019,0.099,0.16699999999999998,0.482,0.123,2018-19,97
97,6315,6315,Greivis Vasquez,MEM,24.0,198.12,95.707912,Maryland,Venezuela,2010,1,28,70,3.6,1.0,2.2,-6.1,0.017,0.094,0.17,0.493,0.266,2010-11,98
98,7070,7070,Channing Frye,PHX,29.0,210.82,111.13004,Arizona,USA,2005,1,8,64,10.5,5.9,1.4,4.3,0.051,0.2,0.195,0.519,0.077,2011-12,99
99,5769,5769,Marcus Camby,LAC,35.0,210.82,106.59412,Massachusetts,USA,1996,1,2,62,10.3,11.1,2.0,-5.3,0.094,0.32,0.158,0.556,0.107,2008-09,100
